movie_name,n_total,n_pos,n_neu,n_neg,pos_rate,avg_rating
framing britney spears,1,0,0,0,0.0,0.5
frances ha,4,4,0,0,1.0,0.925
freaky,1,0,1,0,0.0,0.6
freaky friday,6,4,2,0,0.6666666666666666,0.8333333333333334
free birds,1,1,0,0,1.0,1.0
free guy,7,1,4,2,0.14285714285714285,0.5428571428571429
free solo,2,0,2,0,0.0,0.7
fresh,22,12,8,2,0.5454545454545454,0.7454545454545454
friday the 13th,2,0,2,0,0.0,0.6
from dusk till dawn,1,1,0,0,1.0,0.9
from up on poppy hill,1,1,0,0,1.0,0.9
full metal jacket,2,2,0,0,1.0,0.95
funny games,3,3,0,0,1.0,0.8666666666666666
fyre,2,0,1,0,0.0,0.6
g.i. jane,1,0,1,0,0.0,0.6
game night,2,1,0,0,0.5,1.0
gaslight,1,0,0,0,0.0,0.5
get out,4,4,0,0,1.0,0.85
ghost world,3,1,2,0,0.3333333333333333,0.6666666666666667
ghostbusters,2,2,0,0,1.0,1.0
ghostbusters: afterlife,3,0,0,2,0.0,0.3
"girl, interrupted",8,7,1,0,0.875,0.9125
glass onion: a knives out mystery,23,17,5,0,0.7391304347826086,0.8
godzilla vs. kong,3,0,2,1,0.0,0.5
godâ??s own country,3,3,0,0,1.0,0.8333333333333334
gone girl,16,14,0,0,0.875,0.9642857142857142
good time,2,1,1,0,0.5,0.85
good will hunting,4,4,0,0,1.0,0.95
good will hunting (199 6  ),1,1,0,0,1.0,1.0
goodfellas,4,4,0,0,1.0,0.95
grave of the fireflies,1,1,0,0,1.0,0.9
green book,2,0,0,2,0.0,0.35
green room,1,1,0,0,1.0,0.9
gremlins,1,1,0,0,1.0,0.8
groundhog day,1,1,0,0,1.0,1.0
grown ups,1,1,0,0,1.0,1.0
grown ups 2,1,0,0,1,0.0,0.1
guardians of the galaxy,1,1,0,0,1.0,0.8
guillermo del toro's pinocchio,1,0,1,0,0.0,0.7
guillermo del toroâ??s pinocchio,10,8,2,0,0.8,0.82
halloween,18,12,6,0,0.6666666666666666,0.8333333333333334
halloween (19 6  8),1,1,0,0,1.0,0.9
halloween ends,3,0,1,1,0.0,0.35
halloween kills,4,0,2,1,0.0,0.4666666666666667
hamilton,2,1,0,0,0.5,0.9
happiest season,6,3,2,0,0.5,0.76
happy death day,2,1,1,0,0.5,0.7
happy feet,1,0,1,0,0.0,0.6
happy together,2,2,0,0,1.0,0.9
harold and maude,1,0,1,0,0.0,0.7
harry potter 20th anniversary: return to hogwarts,4,1,1,0,0.25,0.85
harry potter and the chamber of secrets,3,2,1,0,0.6666666666666666,0.7666666666666667
harry potter and the deathly hallows: part 2,2,2,0,0,1.0,0.9
harry potter and the goblet of fire,3,2,1,0,0.6666666666666666,0.8333333333333334
harry potter and the half-blood prince,3,1,2,0,0.3333333333333333,0.7666666666666667
harry potter and the order of the phoenix,2,2,0,0,1.0,1.0
harry potter and the philosopherâ??s stone,2,2,0,0,1.0,0.9
harry potter and the prisoner of azkaban,7,7,0,0,1.0,0.9428571428571428
hawkeye,1,0,1,0,0.0,0.5
heat,3,2,0,0,0.6666666666666666,1.0
heathers,4,4,0,0,1.0,0.95
hellraiser,2,2,0,0,1.0,0.9
her,11,8,1,1,0.7272727272727273,0.8300000000000001
hercules,2,2,0,0,1.0,0.9
hereditary,6,6,0,0,1.0,0.8666666666666666
heâ??s all that,6,0,1,4,0.0,0.26
hidden figures,1,1,0,0,1.0,1.0
high fidelity,1,1,0,0,1.0,0.8
high life,1,0,1,0,0.0,0.6
high school musical,1,1,0,0,1.0,1.0
high school musical 2,2,2,0,0,1.0,0.8
high school musical 3: senior year,1,0,1,0,0.0,0.6
hocus pocus,3,1,2,0,0.3333333333333333,0.7333333333333333
hocus pocus 2,1,0,1,0,0.0,0.6
holes,1,1,0,0,1.0,1.0
home alone,3,2,1,0,0.6666666666666666,0.8333333333333334
homecoming: a film by beyoncã©,1,1,0,0,1.0,0.8
honey boy,1,1,0,0,1.0,0.9
host,1,0,1,0,0.0,0.7
hostel,1,1,0,0,1.0,0.8
hot fuzz,1,1,0,0,1.0,1.0
house,2,2,0,0,1.0,0.95
house of gucci,7,2,3,2,0.2857142857142857,0.6285714285714286
how the grinch stole christmas,1,0,1,0,0.0,0.7
how to lose a guy in 10 days,5,2,2,1,0.4,0.7
how to train your dragon,1,1,0,0,1.0,1.0
how to train your dragon: the hidden world,1,1,0,0,1.0,0.8
howl's moving castle,1,1,0,0,1.0,0.9
howlâ??s moving castle,8,7,0,0,0.875,0.9
hubie halloween,2,1,0,1,0.5,0.65
hustle,1,0,1,0,0.0,0.7
hustlers,4,4,0,0,1.0,0.85
i care a lot,2,0,1,0,0.0,0.7
i know what you did last summer,1,0,1,0,0.0,0.7
i'm thinking of ending things,1,0,0,1,0.0,0.1
"i, tonya",3,2,1,0,0.6666666666666666,0.8
in the heights,7,2,3,1,0.2857142857142857,0.6333333333333333
in the mood for love,5,4,1,0,0.8,0.86
in time,1,0,0,1,0.0,0.4
incantation,1,0,1,0,0.0,0.6
incendies,1,1,0,0,1.0,0.9
inception,9,8,0,0,0.8888888888888888,0.9375
infinity pool,6,5,1,0,0.8333333333333334,0.8
inglourious basterds,8,6,0,1,0.75,0.9142857142857143
ingrid goes west,1,0,1,0,0.0,0.7
inherent vice,1,0,1,0,0.0,0.7
inland empire,2,2,0,0,1.0,1.0
inside llewyn davis,1,1,0,0,1.0,1.0
insidious,1,0,1,0,0.0,0.5
interstellar,7,7,0,0,1.0,0.9142857142857143
interview with the vampire,3,2,1,0,0.6666666666666666,0.8
into the wild,1,0,0,1,0.0,0.3
iron man,1,1,0,0,1.0,0.8
iron man 3,1,1,0,0,1.0,0.8
isle of dogs,2,0,2,0,0.0,0.7
it,1,1,0,0,1.0,0.8
it chapter two,4,1,2,1,0.25,0.575
it follows,2,2,0,0,1.0,1.0
itâ??s a wonderful life,3,3,0,0,1.0,0.9666666666666666
iâ??m thinking of ending things,5,3,1,0,0.6,0.85
jackass forever,4,3,1,0,0.75,0.875
jaws,4,2,1,0,0.5,0.9
jeen-yuhs: a kanye trilogy,1,1,0,0,1.0,0.9
jenniferâ??s body,12,10,1,0,0.8333333333333334,0.8909090909090909
jerry maguire,1,0,1,0,0.0,0.7
john tucker must die,1,1,0,0,1.0,0.8
john wick,2,2,0,0,1.0,0.8
john wick: chapter 3 - parabellum,1,1,0,0,1.0,0.8
jojo rabbit,4,4,0,0,1.0,0.825
joker,7,1,2,4,0.14285714285714285,0.5
judas and the black messiah,4,4,0,0,1.0,0.85
jujutsu kaisen 0,2,2,0,0,1.0,1.0
jungle cruise,2,0,2,0,0.0,0.65
juno,7,6,1,0,0.8571428571428571,0.8571428571428571
juno (200 6  ),1,1,0,0,1.0,0.8
jurassic park,3,3,0,0,1.0,0.9
