movie_name,review_anger,review_fear,review_sadness,review_joy,review_disgust,review_surprise,review_trust,review_anticipation,summary_anger,summary_fear,summary_sadness,summary_joy,summary_disgust,summary_surprise,summary_trust,summary_anticipation,combined_anger,combined_fear,combined_sadness,combined_joy,combined_disgust,combined_surprise,combined_trust,combined_anticipation
the biggest little farm,1.0,0.0,0.0,9.0,4.0,3.0,11.0,10.0,1.0,0.0,0.0,9.0,4.0,3.0,11.0,10.0,1.0,0.0,0.0,9.0,4.0,3.0,11.0,10.0
the birds,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0
the bishop's wife,0.0,0.0,0.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,2.0
the bitter tears of petra von kant,0.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,2.0
the black balloon,2.0,2.0,2.0,2.0,0.0,0.0,5.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,5.0,4.0,2.0,2.0,2.0,2.0,0.0,0.0,5.0,4.0
the black cauldron,2.0,2.0,4.0,7.0,3.0,6.0,8.0,9.0,2.0,2.0,4.0,7.0,3.0,6.0,8.0,9.0,2.0,2.0,4.0,7.0,3.0,6.0,8.0,9.0
the black dahlia,4.0,3.0,2.0,1.0,5.0,1.0,2.0,0.0,4.0,3.0,2.0,1.0,5.0,1.0,2.0,0.0,4.0,3.0,2.0,1.0,5.0,1.0,2.0,0.0
the black hole,2.0,4.0,6.0,0.0,0.0,2.0,0.0,5.0,2.0,4.0,6.0,0.0,0.0,2.0,0.0,5.0,2.0,4.0,6.0,0.0,0.0,2.0,0.0,5.0
the black panthers: vanguard of the revolution,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0
the black phone,0.2222222222222222,0.1111111111111111,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.2222222222222222,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.9333333333333333,0.8666666666666667,0.8,0.13333333333333333,0.8666666666666667,0.0,0.0,0.5333333333333333
the black power mixtape 1967-1975,5.0,6.0,13.0,5.0,1.0,5.0,8.0,4.0,5.0,6.0,13.0,5.0,1.0,5.0,8.0,4.0,5.0,6.0,13.0,5.0,1.0,5.0,8.0,4.0
the black stallion,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0
the black stallion returns,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
the black tulip,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
the black waters of echo's pond,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0
the blair witch project,1.2,1.0,0.8,1.2,1.0,0.8,1.6,1.4,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.9200000000000002,1.8000000000000003,0.88,1.52,1.4,0.88,1.76,1.24
the blazing world,2.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0
the bleeding edge,1.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,3.0
the blind man who did not want to see titanic,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
the blind side,1.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0
the blind swordsman: zatoichi,4.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0
the bling ring,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,1.3333333333333333,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.8,0.8,1.2,0.8,0.8,1.6,1.0
the blob,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
the blonds,2.0,4.0,2.0,1.0,0.0,3.0,0.0,5.0,2.0,4.0,2.0,1.0,0.0,3.0,0.0,5.0,2.0,4.0,2.0,1.0,0.0,3.0,0.0,5.0
the blood of a poet,3.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,0.0,2.0
the blood of my brother,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0
the blossoming of maximo oliveros,2.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0
the blue angel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
