movie_name,summary
a bread factory part one: for the sake of gold,year running community art space bread factory dorothea greta suddenly fighting survival celebrity couple performance artist china come checkford build enormous complex street catapulting big change small town
the act of killing,documentary former indonesian death squad leader reenact real life mass killing various cinematic genre
on the waterfront,marlon brando give one screen electrifying performance best actor academy award winning best film ex fighter terry malloy could contender toil bos johnny friendly lee j cobb gang ridden waterfront sony
jafar panahi's taxi,director jafar panahi drive yellow cab vibrant street tehran picking diverse group passenger single day man woman child candidly express view world interviewed curious gracious driver director camera placed dashboard mobile film studio capture spirited slice iranian society also brilliantly redefining border comedy drama cinema kino lorber
ida,poland anna agata trzebuchowska eighteen year old novitiate nun verge taking vow discovers dark family secret dating back year nazi occupation
beau travail,soldier small french foreign legion outpost spend day practicing drill exercising sergeant galoup seems perfect legionnaire brooding young loner run troop efficiently sentain new recruit arrives threatens upset balance world
her,set los angeles slight future follows theodore twombly complex soulful man make living writing touching personal letter people heartbroken end long relationship becomes intrigued new advanced operating system promise intuitive entity right individual user upon initiating delighted meet samantha bright female voice insightful sensitive surprisingly funny need desire grow tandem friendship deepens eventual love warner bros
uncut gems,howard ratner adam sandler charismatic new york city jeweler always lookout next big score make series high stake bet could lead windfall lifetime howard must perform precarious high wire act balancing business family encroaching adversary side relentless pursuit ultimate win
saint omer,saint omer court law young novelist rama attends trial laurence coly young woman accused killing month old daughter abandoning rising tide beach northern france trial continues word accused witness testimony shake rama conviction call question judgment
lost in translation,unable sleep bob murray charlotte johansson two american tokyo cross path one night luxury hotel bar chance meeting soon becomes surprising friendship charlotte bob venture tokyo often hilarious encounter citizen ultimately discover new belief life possibility focus feature
waltz with bashir,one night bar old friend tell director ari recurring nightmare chased vicious dog every night number beast two men conclude connection israeli army mission first lebanon war early eighty ari surprised remember thing anymore period life intrigued riddle decides meet interview old friend comrade around world need discover truth time ari delf deeper deeper mystery memory begin creep surreal image sony classic
