movie_name,n_total,n_pos,n_neu,n_neg,pos_rate,avg_rating
acts of worship,1,0,0,0,0.0,0.5
ad astra,2,2,0,0,1.0,0.9
adam,2,0,0,0,0.0,0.5
adam  steve,1,0,0,0,0.0,0.5
adam resurrected,1,0,0,0,0.0,0.5
adams rib,1,0,0,0,0.0,0.5
adanggaman,1,0,0,0,0.0,0.5
adaptation,2,2,0,0,1.0,0.95
addams family values,1,0,0,0,0.0,0.5
addicted,1,0,0,0,0.0,0.5
addicted to fresno,1,0,0,0,0.0,0.5
addicted to love,1,0,0,0,0.0,0.5
addiction incorporated,1,0,0,0,0.0,0.5
adopt a highway,1,0,0,0,0.0,0.5
adoration,1,0,0,0,0.0,0.5
adore,1,0,0,0,0.0,0.5
adored,1,0,0,0,0.0,0.5
adrift,1,0,0,0,0.0,0.5
adult life skills,1,0,0,0,0.0,0.5
adult world,1,0,0,0,0.0,0.5
advanced style,1,0,0,0,0.0,0.5
advantageous,1,0,0,0,0.0,0.5
adventureland,1,0,0,0,0.0,0.5
adventures in babysitting,1,0,0,0,0.0,0.5
adventures of power,1,0,0,0,0.0,0.5
adventures of the penguin king,1,0,0,0,0.0,0.5
ae fond kiss,1,0,0,0,0.0,0.5
aferim,1,0,0,0,0.0,0.5
affluenza,1,0,0,0,0.0,0.5
afghan star,1,0,0,0,0.0,0.5
afire,1,0,0,0,0.0,0.5
african cats,1,0,0,0,0.0,0.5
after,2,0,0,2,0.0,0.2
after blue dirty paradise,1,0,0,0,0.0,0.5
after dark my sweet,1,0,0,0,0.0,0.5
after earth,1,0,0,0,0.0,0.5
after everything,1,0,0,0,0.0,0.5
after hours,4,3,0,0,0.75,0.8666666666666666
after innocence,1,0,0,0,0.0,0.5
after love,2,0,0,0,0.0,0.5
after midnight,1,0,0,0,0.0,0.5
after the cup sons of sakhnin united,1,0,0,0,0.0,0.5
after the fall,1,0,0,0,0.0,0.5
after the life,1,0,0,0,0.0,0.5
after the storm,1,0,0,0,0.0,0.5
after the sunset,1,0,0,0,0.0,0.5
after the wedding,2,0,0,0,0.0,0.5
after tiller,1,0,0,0,0.0,0.5
after we collided,1,0,0,1,0.0,0.1
after words,1,0,0,0,0.0,0.5
after yang,3,3,0,0,1.0,0.8333333333333334
afterglow,1,0,0,0,0.0,0.5
afterimage,1,0,0,0,0.0,0.5
aftermath,2,0,0,0,0.0,0.5
afternoon of a faun tanaquil le clercq,1,0,0,0,0.0,0.5
aftershock,2,0,0,0,0.0,0.5
aftersun,17,16,0,0,0.9411764705882353,0.975
against all odds,1,0,0,0,0.0,0.5
against the ice,1,0,0,0,0.0,0.5
age of uprising the legend of michael kohlhaas,1,0,0,0,0.0,0.5
agent cody banks,1,0,0,0,0.0,0.5
agent cody banks 2 destination london,1,0,0,0,0.0,0.5
agnes,1,0,0,0,0.0,0.5
agnes and his brothers,1,0,0,0,0.0,0.5
agnes browne,1,0,0,0,0.0,0.5
agnes of god,1,0,0,0,0.0,0.5
aha the movie,1,0,0,0,0.0,0.5
ahead of time,1,0,0,0,0.0,0.5
aheds knee,1,0,0,0,0.0,0.5
ai weiwei never sorry,1,0,0,0,0.0,0.5
ai weiwei the fake case,1,0,0,0,0.0,0.5
aileen life and death of a serial killer,1,0,0,0,0.0,0.5
aimee  jaguar,1,0,0,0,0.0,0.5
aint in it for my health a film about levon helm,1,0,0,0,0.0,0.5
aint them bodies saints,1,0,0,0,0.0,0.5
air america,1,0,0,0,0.0,0.5
air doll,1,0,0,0,0.0,0.5
air guitar nation,1,0,0,0,0.0,0.5
