movie_name,review_anger,review_fear,review_sadness,review_joy,review_disgust,review_surprise,review_trust,review_anticipation,summary_anger,summary_fear,summary_sadness,summary_joy,summary_disgust,summary_surprise,summary_trust,summary_anticipation,combined_anger,combined_fear,combined_sadness,combined_joy,combined_disgust,combined_surprise,combined_trust,combined_anticipation
mr nanny,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
mr nice,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0
mr nobody,0.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0
mr peabody  sherman,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0
mr poppers penguins,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0
mr right,3.0,5.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,5.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,5.0,3.0,1.0,0.0,0.0,1.0,3.0
mr roosevelt,0.0,0.0,3.0,3.0,2.0,2.0,3.0,4.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,4.0,0.0,0.0,3.0,3.0,2.0,2.0,3.0,4.0
mr woodcock,1.0,1.0,2.0,3.0,4.0,0.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,0.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,0.0,5.0,2.0
mrs doubtfire,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
mrs harris goes to paris,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0
mrs henderson presents,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0
mrs hyde,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
mrs lowry  son,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0
mrs palfrey at the claremont,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0
mrs parker and the vicious circle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ms marvel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ms purple,3.0,4.0,5.0,3.0,1.0,2.0,7.0,5.0,3.0,4.0,5.0,3.0,1.0,2.0,7.0,5.0,3.0,4.0,5.0,3.0,1.0,2.0,7.0,5.0
much ado about nothing,2.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,3.0,1.0
much ado about something,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
mucho mucho amor,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0
mud,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0
mudbound,5.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0
mulan,1.0,0.3333333333333333,1.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.6666666666666667,1.5,2.0,0.5,3.0,0.0,0.5,5.0,2.5,1.2000000000000002,1.0,1.0,1.8000000000000003,0.6,0.4,2.6,2.0
mule skinner blues,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
mulholland dr,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
mulholland drive,0.2,0.6,0.6,0.6,0.2,0.2,0.2,1.0,0.2,0.6,0.6,0.6,0.2,0.2,0.2,1.0,0.2,0.6,0.6,0.6,0.2,0.2,0.2,1.0
multiple sarcasms,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0
multiplicity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mumford,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
munich,2.0,4.0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,3.0,2.0,2.0,4.0,2.0,1.0,1.0,0.0,3.0,2.0
munich the edge of war,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
muppet treasure island,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0
muppets from space,2.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,0.0,1.0,1.0,0.0,1.0
